date,open,high,low,close,volume
2/1/1970,0.0079,0.008,0.0078,0.008,1948800
5/1/1970,0.008,0.0081,0.0079,0.0081,1228800
6/1/1970,0.0081,0.0083,0.0081,0.0083,960000
7/1/1970,0.0083,0.0085,0.0082,0.0083,4560000
8/1/1970,0.0083,0.0084,0.0081,0.0081,3753600
9/1/1970,0.0078,0.0078,0.0075,0.0075,5424000
12/1/1970,0.0075,0.0075,0.0072,0.0073,4185600
13/1/1970,0.0073,0.0075,0.0073,0.0073,2534400
14/1/1970,0.0073,0.0074,0.0073,0.0073,2668800
15/1/1970,0.0073,0.0074,0.0073,0.0074,1142400
16/1/1970,0.0075,0.0076,0.0075,0.0075,1939200
19/1/1970,0.0075,0.0077,0.0075,0.0076,595200
20/1/1970,0.0076,0.0077,0.0076,0.0076,921600
21/1/1970,0.0076,0.0077,0.0076,0.0076,604800
22/1/1970,0.0076,0.0078,0.0076,0.0077,1584000
23/1/1970,0.0077,0.0078,0.0076,0.0077,1094400
26/1/1970,0.0076,0.0076,0.0073,0.0075,2659200
27/1/1970,0.0075,0.0076,0.0074,0.0076,950400
28/1/1970,0.0076,0.0076,0.0075,0.0076,1113600
29/1/1970,0.0076,0.0076,0.0074,0.0075,2908800
30/1/1970,0.0075,0.0075,0.0074,0.0074,1488000
2/2/1970,0.0074,0.0075,0.0074,0.0074,787200
3/2/1970,0.0074,0.0077,0.0074,0.0076,1142400
4/2/1970,0.0076,0.0077,0.0075,0.0075,547200
5/2/1970,0.0075,0.0075,0.007,0.007,8361600
6/2/1970,0.007,0.0071,0.0069,0.007,1584000
9/2/1970,0.007,0.0071,0.007,0.0071,5107200
10/2/1970,0.0071,0.0072,0.0071,0.0071,1123200
11/2/1970,0.0071,0.0074,0.0071,0.0073,1008000
12/2/1970,0.0073,0.0074,0.0072,0.0073,1958400
13/2/1970,0.0073,0.0074,0.0073,0.0074,777600
16/2/1970,0.0074,0.0075,0.0073,0.0074,979200
